SocialDemocratic,Moderate,SwedishDemocratic,Center,Left,CristianDemocratic,Liberal,Green,Feminist,Other,ID
23.8,21.9,9.8,9.1,13.1,4.9,7.9,7.7,0.7,1.2,1
23.1,26,15.2,8.6,6.9,7,6.9,4.8,0.4,1.1,2
27,19,15.4,9.2,8.7,6.9,6.2,5.6,0.6,1.4,3
31.4,20.4,19.3,7.4,6.6,5.5,4.3,3.7,0.3,1,4
29.1,20.4,17.6,8.4,6.8,6.7,5.3,4.2,0.4,1.2,5
27.8,17.7,19.3,10.1,4.9,12,4,3.2,0.3,0.9,6
29.6,19.2,20.3,9.4,6,7.6,3.5,3.2,0.3,1,7
31.2,17.2,20.6,9.8,6.1,7.2,3.8,2.9,0.3,0.9,8
29.8,16.6,12.7,17.2,9,4.1,3.7,5,0.9,0.9,9
31.4,17.3,25.2,6.8,5.5,5.7,4,2.9,0.3,0.9,10
29.1,19.5,16.8,5.7,11.9,3.8,5.6,5.6,0.8,1.2,11
26.1,21,26.1,6.4,4.7,5.4,5.2,3.5,0.4,1,12
21.8,24,22.1,7.9,5.3,5.4,7,4.9,0.5,1.1,13
25,20.2,28.8,6.8,4.1,6.5,4.4,2.9,0.3,1,14
25.8,22.9,18.6,10.1,4.8,7.1,5.7,3.5,0.3,1,15
23.8,19.9,13.5,7.1,14,5.5,7.2,6.9,0.8,1.3,16
24.2,21.8,18,8.2,6.8,7.7,6.9,5,0.4,1,17
30.5,17.6,21.4,7.9,6.3,6.5,4.7,3.6,0.4,1,18
28,19,19.7,9.6,6.4,7.3,5.3,3.4,0.3,1,19
30.4,18.4,19.5,9.3,5.7,7.8,4.3,3.1,0.4,1,20
33.9,16.4,18,9.3,6.9,6.3,4.4,3.3,0.4,0.9,21
33.1,16.6,18.2,7.8,7.6,6.9,4.6,3.7,0.4,1.1,22
31.4,19.2,20.1,6.7,7.1,5.8,5.5,3,0.3,1,23
30.7,16.7,20.8,10,7.3,6.1,3.6,3.3,0.4,1.1,24
34.1,15.3,19.6,9.1,8.4,5.3,4,3.1,0.3,0.9,25
39.8,13.7,15.6,9.9,8.2,5.4,3.4,2.7,0.4,1,26
33.6,14.3,15.6,15.4,8.4,4.8,2.9,3.6,0.4,1,27
38.1,13.5,10.9,10.1,12.7,5.2,3.9,3.9,0.6,1,28
41.7,12.8,15.8,7.1,10.7,4.6,3.2,2.8,0.4,1,29
